*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sat Feb 25 12:25:54 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Feb-25 00:00:00.0000 TDB
Stop  time      : A.D. 2054-Mar-27 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459635.500000000, A.D. 2022-Feb-25 00:00:00.0000, -1.366248118767894E+08,  6.053963229688255E+07,  2.496043449044973E+04, -1.259408446066861E+01, -2.735052633565498E+01,  2.686691910032124E-03,  4.984678415961775E+02,  1.494368994660727E+08,  4.341208898556933E-01,
2459636.500000000, A.D. 2022-Feb-26 00:00:00.0000, -1.376922539218947E+08,  5.816736290894206E+07,  2.518718333182111E+04, -1.211452305262726E+01, -2.756170590012524E+01,  2.552160024634986E-03,  4.985929664762596E+02,  1.494744109614294E+08,  4.340829891034010E-01,
2459637.500000000, A.D. 2022-Feb-27 00:00:00.0000, -1.387180827838755E+08,  5.577721705791349E+07,  2.539986653125659E+04, -1.163084297344903E+01, -2.776429027345837E+01,  2.362881576926767E-03,  4.987179811705878E+02,  1.495118894239282E+08,  4.333665614292093E-01,
2459638.500000000, A.D. 2022-Feb-28 00:00:00.0000, -1.397019504081658E+08,  5.336994845665203E+07,  2.559428020191193E+04, -1.114323512390584E+01, -2.795802440562498E+01,  2.131744230513988E-03,  4.988427010641701E+02,  1.495492795073867E+08,  4.320543299285383E-01,
2459639.500000000, A.D. 2022-Mar-01 00:00:00.0000, -1.406435278978471E+08,  5.094633211221157E+07,  2.576749897733703E+04, -1.065195142961003E+01, -2.814267415413574E+01,  1.875219924192706E-03,  4.989669709618238E+02,  1.495865346854598E+08,  4.302663507085196E-01,
2459640.500000000, A.D. 2022-Mar-02 00:00:00.0000, -1.415425104722114E+08,  4.850716157301924E+07,  2.591811460756138E+04, -1.015729585961376E+01, -2.831804775625305E+01,  1.611614834077457E-03,  4.990906743057852E+02,  1.496236200150087E+08,  4.281481720418173E-01,
2459641.500000000, A.D. 2022-Mar-03 00:00:00.0000, -1.423986212273079E+08,  4.605324452022281E+07,  2.604630226138234E+04, -9.659606072898271E+00, -2.848401172017096E+01,  1.358909311830914E-03,  4.992137381219540E+02,  1.496605136189489E+08,  4.258535773206876E-01,
2459642.500000000, A.D. 2022-Mar-04 00:00:00.0000, -1.432116130474021E+08,  4.358539740643504E+07,  2.615370199576207E+04, -9.159229949966118E+00, -2.864049645760732E+01,  1.132738401812716E-03,  4.993361327198177E+02,  1.496972065962884E+08,  4.235263065435745E-01,
2459643.500000000, A.D. 2022-Mar-05 00:00:00.0000, -1.439812684993074E+08,  4.110444010197533E+07,  2.624315146189928E+04, -8.656503458275205E+00, -2.878749069404473E+01,  9.450371487460529E-04,  4.994578665993427E+02,  1.497337014952530E+08,  4.212858290578273E-01,
2459644.500000000, A.D. 2022-Mar-06 00:00:00.0000, -1.447073980779545E+08,  3.861119140550622E+07,  2.631834025743976E+04, -8.151735287662854E+00, -2.892502784503448E+01,  8.035905382488551E-04,  4.995789782613978E+02,  1.497700098581130E+08,  4.192203630911519E-01,
